time,lon,lat,ssh,sst,diff_sst,typhoon_count,month,nb_typhoon_per_year
729754.0,134.01309344385834,28.169885079125848,1.2611442162773174,28.90012245666918,0.28872456669178703,0.0,12.0,0.0
730119.0,134.01309344385834,28.169885079125848,1.2720608703843257,28.538234740015067,0.2793707611152989,0.0,12.0,0.0
730485.0,134.01309344385834,28.169885079125848,1.261728767897513,28.068848907309718,0.29335908063300664,2.0,12.0,2.0
730850.0,134.01309344385834,28.169885079125848,1.299681085154484,28.92103428786737,0.2893462697814577,4.0,12.0,2.0
731215.0,134.04842217286694,28.37347307051638,1.2715211549139367,28.023237090505273,0.32387905048982546,4.0,12.0,0.0
731580.0,134.04842217286694,28.37347307051638,1.28862509716824,28.45105496946141,0.3182121043864541,5.0,12.0,1.0
731946.0,134.04842217286694,28.37347307051638,1.267634295761614,28.321377012770682,0.26191004997224,6.0,12.0,1.0
732311.0,134.04842217286694,28.37347307051638,1.2814916712937259,28.59475291504719,0.3081066074403118,7.0,12.0,1.0
732676.0,134.04842217286694,28.37347307051638,1.2678866185452526,28.674014436424205,0.3553303720155476,8.0,12.0,1.0
733041.0,134.04842217286694,28.37347307051638,1.273363335184157,28.65163797890061,0.34955580233203776,10.0,12.0,2.0
733407.0,134.04842217286694,28.37347307051638,1.24867577271886,28.688589672404216,0.2865352581898968,12.0,12.0,2.0
733772.0,134.04842217286694,28.37347307051638,1.269226115121229,28.595918933925596,0.23300943920044404,14.0,12.0,2.0
734137.0,134.04842217286694,28.37347307051638,1.2818282620766241,29.07270960577457,0.2835924486396415,17.0,12.0,3.0
734502.0,134.04842217286694,28.37347307051638,1.2756106607440312,27.925152692948362,0.25066629650194017,18.0,12.0,1.0
734868.0,134.04842217286694,28.37347307051638,1.2651330001850825,28.515963353692392,0.2765963353692378,21.0,12.0,3.0
735233.0,134.04842217286694,28.37347307051638,1.23989483620211,29.49142143253748,0.355830094392001,27.0,12.0,6.0
735598.0,134.04842217286694,28.37347307051638,1.2842434388302795,28.69269850083287,0.31751804553025664,31.0,12.0,4.0
735963.0,134.04842217286694,28.37347307051638,1.3147771053118638,28.55163797890061,0.3185730149916708,32.0,12.0,1.0
