LAT,LON,SID,USA_WIND,CATEGORY,NSEC_TIME,ISO_TIME
27.475,140.925,1998235N17131,115.0,4,904305600000000000,1998-08-28 12:00:00
27.684,140.945,1998235N17131,115.0,4,904316400000000000,1998-08-28 15:00:00
27.875,140.95,1998235N17131,115.0,4,904327200000000000,1998-08-28 18:00:00
28.054,140.952,1998235N17131,112.0,3,904338000000000000,1998-08-28 21:00:00
28.2,140.95,1998235N17131,110.0,3,904348800000000000,1998-08-29 00:00:00
28.352,140.95,1998235N17131,107.0,3,904359600000000000,1998-08-29 03:00:00
28.525,140.95,1998235N17131,105.0,3,904370400000000000,1998-08-29 06:00:00
28.688,140.948,1998235N17131,102.0,3,904381200000000000,1998-08-29 09:00:00
28.825,140.95,1998235N17131,100.0,3,904392000000000000,1998-08-29 12:00:00
28.992,140.957,1998235N17131,97.0,3,904402800000000000,1998-08-29 15:00:00
29.15,140.975,1998235N17131,95.0,2,904413600000000000,1998-08-29 18:00:00
29.326,141.003,1998235N17131,92.0,2,904424400000000000,1998-08-29 21:00:00
29.55,141.05,1998235N17131,90.0,2,904435200000000000,1998-08-30 00:00:00
29.854,141.133,1998235N17131,90.0,2,904446000000000000,1998-08-30 03:00:00
30.15,141.25,1998235N17131,90.0,2,904456800000000000,1998-08-30 06:00:00
30.347,141.428,1998235N17131,90.0,2,904467600000000000,1998-08-30 09:00:00
30.5,141.65,1998235N17131,90.0,2,904478400000000000,1998-08-30 12:00:00
30.659,141.93,1998235N17131,90.0,2,904489200000000000,1998-08-30 15:00:00
30.85,142.275,1998235N17131,90.0,2,904500000000000000,1998-08-30 18:00:00
31.068,142.64,1998235N17131,90.0,2,904510800000000000,1998-08-30 21:00:00
31.3,143.025,1998235N17131,90.0,2,904521600000000000,1998-08-31 00:00:00
31.495,143.524,1998235N17131,90.0,2,904532400000000000,1998-08-31 03:00:00
31.575,144.05,1998235N17131,90.0,2,904543200000000000,1998-08-31 06:00:00
31.497,144.485,1998235N17131,90.0,2,904554000000000000,1998-08-31 09:00:00
31.3,144.9,1998235N17131,90.0,2,904564800000000000,1998-08-31 12:00:00
22.6,122.4,1998243N23122,20.0,TD,904543200000000000,1998-08-31 06:00:00
22.993,122.532,1998243N23122,20.0,TD,904554000000000000,1998-08-31 09:00:00
23.4,122.7,1998243N23122,20.0,TD,904564800000000000,1998-08-31 12:00:00
